UID,barcode,OFF_data,OFF_additives_n,OFF_additives_tags,OFF_allergens,OFF_brands,OFF_categories,OFF_ecoscore_grade,OFF_ingredients_n,OFF_ingredients_text,OFF_labels,OFF_labels_hierarchy,OFF_nutrition_grades,OFF_nova_group,carbohydrates,carbohydrates_100g,carbohydrates_unit,carbohydrates_value,energy,energy-kcal,energy-kcal_100g,energy-kcal_unit,energy-kcal_value,energy-kcal_value_computed,energy-kj,energy-kj_100g,energy-kj_unit,energy-kj_value,energy-kj_value_computed,energy_100g,energy_unit,energy_value,fat,fat_100g,fat_unit,fat_value,fiber,fiber_100g,fiber_unit,fiber_value,proteins,proteins_100g,proteins_unit,proteins_value,salt,salt_100g,salt_unit,salt_value,saturated-fat,saturated-fat_100g,saturated-fat_unit,saturated-fat_value,sodium,sodium_100g,sodium_unit,sodium_value,sugars,sugars_100g,sugars_unit,sugars_value,OFF_packaging_recycling_tags,OFF_packaging_tags,OFF_stores_tags
ID_1,8718114724430,Data Found,3,"['en:e160c', 'en:e412', 'en:e415']",,Hellman's,"Condiments,Sauces,Mayonnaises,Mayonnaises allégées,en:groceries,matières grasses",c,18,"Water, rapeseed oil (25%), spirit vinegar, modified corn starch, pasteurised free rang EGGS (4.2%), sugar, salt, cream powder (contains MILK), citrus fibre, natural MUSTARD flavouring thickener (guar gum, xanthan gum), MUSTARD flour, lemon juice concentrate, antioxidant (calciu disodium EDTA), paprika extract, sunflower oil.","Omega-3,Source of omega-3","['en:omega-3', 'en:source-of-omega-3']",c,4,6.1,6.1,g,6.1,1125.0,269.0,269.0,kcal,269.0,260.4,,,,,,1125.0,kcal,269.0,26.0,26.0,g,26.0,,,,,0.5,0.5,g,0.5,1.6725,1.6725,g,1.6725,2.6,2.6,g,2.6,0.669,0.669,g,0.669,2.3,2.3,g,2.3,[],"['en:bottle', 'en:pet-bottle']","['tesco', 'higgidy-family-kitchen', 'iceland']"
ID_2,5018374207609,Data Found,1,['en:e160a'],en:milk,Tesco,Egg custard,unknown,20,"Whole Milk, Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Pasteurised Egg (16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Whipping Cream (Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour (Carotenes), Salt.",,[],d,4,33.1,33.1,g,33.1,1130.0,270.0,270.0,kcal,270.0,270.0,,,,,,1130.0,kcal,270.0,12.4,12.4,g,12.4,0.8,0.8,g,0.8,6.1,6.1,g,6.1,0.3,0.3,g,0.3,5.7,5.7,g,5.7,0.12,0.12,g,0.12,14.9,14.9,g,14.9,[],"['en:card-box', 'en:foil-pot', 'en:pet-tray']",['tesco']
ID_3,10057520,Data Found,Not available,Not available,,Tesco,Not available,unknown,Not available,Not available,Not available,Not available,unknown,Not available,4.3,4.3,g,4.3,100.0,24.0,24.0,kcal,24.0,24.2,,,,,,100.0,kcal,24.0,0.2,0.2,g,0.2,1.0,1.0,g,1.0,0.8,0.8,g,0.8,,,,,,,,,,,,,4.2,4.2,g,4.2,[],Not available,['tesco']
ID_4,10021866,Data Found,Not available,Not available,,Tesco,Not available,unknown,Not available,Not available,Not available,Not available,unknown,Not available,4.4,4.4,g,4.4,131.0,31.0,31.0,kcal,31.0,31.2,131.0,131.0,kj,131.0,131.2,131.0,kj,131.0,0.2,0.2,g,0.2,2.3,2.3,g,2.3,1.8,1.8,g,1.8,0.1,0.1,g,0.1,0.1,0.1,g,0.1,0.04,0.04,g,0.04,4.4,4.4,g,4.4,[],['en:mixed-plastic-packet'],['tesco']
ID_5,3275122,Data Found,Not available,Not available,,Not available,Not available,unknown,Not available,Not available,Not available,Not available,unknown,Not available,6.19999980926514,6.19999980926514,g,6.19999980926514,134.0,32.0,32.0,kcal,32.0,45.0999997854233,,,,,,134.0,kcal,32.0,1.70000004768372,1.70000004768372,g,1.70000004768372,1.70000004768372,1.70000004768372,g,1.70000004768372,0.400000005960464,0.400000005960464,g,0.400000005960464,,,,,,,,,,,,,,,,,[],Not available,Not available
ID_6,5057753931001,Data Found,0,[],,Tesco,"Meats and their products, Meats, Chicken and its products, Poultries, Chickens, Chicken breasts",d,1,Chicken breast.,"Assured Food Standards, Made using British chicken, Tesco Welfare Approved","['en:assured-food-standards', 'en:Made using British chicken', 'en:Tesco Welfare Approved']",a,1,0.0,0.0,g,0.0,449.0,106.0,106.0,kcal,106.0,105.9,449.0,449.0,kJ,449.0,448.7,449.0,kJ,449.0,1.1,1.1,g,1.1,0.0,0.0,g,0.0,24.0,24.0,g,24.0,0.2,0.2,g,0.2,0.3,0.3,g,0.3,0.08,0.08,g,0.08,0.0,0.0,g,0.0,[],"['en:plastic', 'en:pet-tub']",['tesco']
ID_7,10112489,Data Found,10,"['en:e101', 'en:e101i', 'en:e1400', 'en:e262', 'en:e262i', 'en:e306', 'en:e325', 'en:e330', 'en:e412', 'en:e415', 'en:e452', 'en:e452i', 'en:e500', 'en:e500ii']",,Snapdragon,Not available,unknown,54,"wheat ramen noodles: wheat flour, shortening oil, tapioca starch, potato starch salt, sodium hexametaphosphate, sodium hydrogen carbonate, mixed tocopherol, guar gum and riboflavin. soup sauce: red miso (water, soybean, rice, and salt), water, soybean oil maltodentrin, salt, yeast extract, kelp powder (dextrin, kelp broth, kelp extract), sugar, soy sauc powder (soy sauce (soybean, salt and alcohol), dextrin, and salt&quot;, shallot&quot;, white radish&quot; tun powder tuna maltodextrin, salt and sugar), onion&quot;. garlúc&quot;. sodium lactate. sodium acetate, caram powder disodium inosinate and disodium guanylate potassilum chiloride. ginger&quot;, xanthan gum, sesan oil and citric acid. vegetable: carrot corn&quot;. green onion&quot; and sesame. chili oil pack: soybea cnger chili oil contains: soy, wheat, and fish (tuna). manufactured in a facilit that processes peanuts, soy, wheat and fish. *dried y value 17% 23% ugars 0% nd anutrient 2.000 wbice",Not available,Not available,unknown,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],Not available,Not available
ID_8,5057545918791,Data Found,3,"['en:e300', 'en:e471', 'en:e472e']",en:gluten,Tesco,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Wholemeal breads",b,15,"wholemeal wheat flour, water, toasted rye flakes, yeast, oat bran, salt, wheat gluten, fermented wheat flour, emulsifiers (mono - and di-glycerides of fatty acids, mono-and di-acetyl tartaric acid esters of mono - and di-glycerides of fatty acids), spirit vinegar, rapeseed oil, flour treatment agent (ascorbic acid).",,[],b,4,36.9,36.9,g,36.9,920.0,220.0,220.0,kcal,220.0,219.5,,,,,,920.0,kcal,220.0,1.7,1.7,g,1.7,6.3,6.3,g,6.3,11.0,11.0,g,11.0,1.3,1.3,g,1.3,0.4,0.4,g,0.4,0.52,0.52,g,0.52,2.8,2.8,g,2.8,[],['en:pack'],['tesco']
ID_9,5053526262419,Data Found,0,[],,Tesco,"Plant-based foods and beverages, Plant-based foods, Condiments, Spreads, Plant-based spreads, Salted spreads, Sauces, Dips, Hummus",a,16,"Cooked Chickpeas (52%) [Water, Chickpeas], Water, Tahini Sesame Seed Paste, Sweetened Red Chilli Purée (9%) [Sugar, Red Chilli Purée, White Wine Vinegar, Ginger Purée, Garlic Purée, Cornflour], Rapeseed Oil, Concentrated Lemon Juice, Garlic, Salt. Suitable for vegans",en:vegan,"['en:vegetarian', 'en:vegan']",b,3,7.4,17.6,g,7.4,418.0,100.000000002,238.0,kcal,100.000000002,100.1999999984,,,,,,995.0,kcal,100.0,6.1999999992,14.8,g,6.1999999992,1.8,4.29,g,1.8,2.8000000014,6.67,g,2.8000000014,0.4,0.952,g,0.4,0.7,1.67,g,0.7,0.16,0.381,g,0.16,2.2,5.24,g,2.2,[],"['en:card-sleeve', 'en:pet-tub']",['tesco']
ID_10,5057753898397,Data Found,0,[],,Tesco,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Legumes, Seeds, Legume seeds, Pulses, Common beans, Red beans",a,2,"Organic Red Kidney Beans, Water.",,[],b,1,11.2,11.2,g,11.2,397.0,95.0,95.0,kcal,95.0,80.1,,,,,,397.0,kcal,95.0,0.5,0.5,g,0.5,,,,,7.7,7.7,g,7.7,0.01,0.01,g,0.01,0.1,0.1,g,0.1,0.004,0.004,g,0.004,0.6,0.6,g,0.6,[],[],['tesco']
