"UID","name","matched_name","barcode","brand","category_1","category_2","category_3","category_4","rating","match_score"
"ID_1","Hellmann's Light Mayonnaise Squeezy 650Ml","Hellmann's Light Mayonnaise Squeezy 750ml","08718114724430","HELLMANN'S","Food Cupboard","Table Sauces, Olives, Pickles & Chutney","Mayonnaise","Light & Low Fat Mayonnaise","4.5","99.4"
"ID_2","Express Tesco Egg Custard Tart 2 Pack","Tesco Egg Custard Tarts 2 Pack","05018374207609","TESCO","Fresh Food","Chilled Desserts","Fresh Cream Cakes & Tarts","Tarts","3.0","96.1"
"ID_3","Tesco Loose Red Peppers(C)","Tesco Loose Red Peppers(C)","00000010057520","TESCO","Fresh Food","Fresh Salad, Coleslaw & Sandwich Fillers","Peppers","Peppers","5.0","93.2"
"ID_4","Tesco Sweetheart Cabbage (C)","Tesco Sweetheart Cabbage Each","00000010021866","TESCO","Fresh Food","Fresh Vegetables & Fresh Flowers","Spinach, Cabbages & Greens","Cabbages","3.1","92.5"
"ID_5","Tesco Carrot 500G (C)","Tesco Carrot 500G (C)","00000003272657","TESCO","Fresh Food","Fresh Vegetables & Fresh Flowers","Carrots & Root Vegetables","Carrots","3.0","90.1"
"ID_6","Tesco British Chicken Breast Mini Fillets 400G","Tesco British Chicken Breast Mini Fillets 400G","05057753931001","TESCO","Fresh Food","Fresh Meat & Poultry","Fresh Chicken","Chicken Breast Fillet","3.2","100.0"
"ID_7","Tesco Brown Onion Each (C)","Tesco Organic Brown Onions 750G","00000010112489","TESCO ORGANIC","Fresh Food","Fresh Vegetables & Fresh Flowers","Onions & Leeks","Brown Onions","3.0","82.7"
"ID_8","Tesco Finest Wholemeal Loaf 800G","Tesco Finest Wholemeal Loaf 800G","05057545918791","TESCO FINEST","Bakery","Bread & Rolls","Brown & Wholemeal Bread","Brown & Wholemeal Bread","3.7","100.0"
"ID_9","Tesco Sweet Chilli Houmous 182G","Tesco Sweet Chilli Houmous 182G","05053526262419","TESCO","Fresh Food","Cooked Meats, Antipasti & Dips","Houmous & Dips","Houmous","3.8","100.0"
"ID_10","Tesco Red Kidney Beans In Water 400G","Tesco Organic Red Kidney Beans In Water 400G","05057753898397","TESCO","Food Cupboard","Tins, Cans & Packets","Pulses, Lentils & Beans","Tinned Kidney Beans","4.8","96.0"
