L1,L2,L3,Tag1,Tag2,Tag3,Tag4,Tag5,Flav1,Flav2,Flav3,Flav4,Flav5,Item Name
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,Alcohol free alternative,,,Bitter,,,,,Adnams Ghost Ship Low Alcohol Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Alcohol free alternative,,,,Bitter,Sour,,,,Alcohol-Free British Tart Harsh Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Organic or additive free,Alcohol free alternative,,,Bitter,Spicy,Umami,,,BrewDog Nanny State Green 0.0% Ale 330ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,,,,,Bitter,,,,,Fuller's London Pride Sharp Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,,,,Bitter,,,,,Greene King IPA Light Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,,,,Bitter,,,,,Fuller's IPA Light Uk Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,,,,Bitter,Sour,,,,BrewDog IPA Light Sour Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,,,,Bitter,Sweet,,,,Adnams IPA Light Sugary Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,,,,Bitter,,,,,Timothy Low Calorie Taylor's IPA Astringent Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,,,,Bitter,,,,,Badger IPA Ale Reduced Calorie 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,,,,Bitter,Spicy,,,,Reduced Calorie Oakham IPA Spice-infused Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,,,,,Bitter,Sweet,,,,Fuller's Sweet & Pungent London Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,,,,,Bitter,,,,,Hobgoblin London Astringent Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Kosher,Alcohol free alternative,,,Bitter,,,,,Kosher Brew Astringent Ale Zero Alcohol 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,,,,Bitter,Sweet,,,,lean Wainwright Saccharine Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,,,,,Bitter,,,,,Marston's Pedigree From britain Acrid Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Organic or additive free,,,,Bitter,Umami,,,,Samuel Smith's Pesticide-free Uk Bitter Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Special event or occasion,Organic or additive free,,,Bitter,,,,,Thornbridge Chemical-free From britain Celebration Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Organic or additive free,,,,Bitter,,,,,Purity Naturally grown British-style Heritage Harsh Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Organic or additive free,Low calorie alternative,,,Bitter,Sweet,,,,Black Sheep Green Mildly sweet & Pungent English Ale calorie-conscious 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Organic or additive free,,,,Bitter,Sweet,,,,Harvey's Organically produced Saccharine & Sharp Uk Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,Special event or occasion,,,Bitter,,,,,Sainsbury's Festive Ale 500ml calorie-light
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Alcohol free alternative,,,,Bitter,,,,,Adnams 0.0% London Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Alcohol free alternative,,,,Bitter,,,,,Fuller's 0.0% Uk Astringent Ale 330ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Alcohol free alternative,,,,Bitter,Sweet,,,,Badger 0.0% Sweet & Sharp British Ale 330ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Low calorie alternative,Alcohol free alternative,,,Bitter,,,,,Timothy light Taylor's Alcohol-Free Acrid Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Alcohol free alternative,,,,Bitter,Salty,,,,Oakham Zero Alcohol London Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,,,,,Bitter,,,,,Spitfire Kentish Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,,,,,Bitter,,,,,St. Austell Tribute Cornish Ale 500ml
Alcohol,Beer & cider,"Ale, stout & bitter",British cuisine,Alcohol free alternative,,,,Bitter,Sour,,,,BrewDog Zero Alcohol Uk Tangy Ale 330ml
Alcohol,Beer & cider,Cider,British cuisine,Organic or additive free,Alcohol free alternative,,,Spicy,Sour,Sweet,,,Aspall Naturally grown Alcohol-Free Cider with a Hint of Ginger 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,Organic or additive free,Low calorie alternative,,Sour,Sweet,,,,Angry Orchard Chemical-free Light Alcohol-Free Cider with Apple Notes 500ml
Alcohol,Beer & cider,Cider,British cuisine,Organic or additive free,Alcohol free alternative,Low calorie alternative,,Sour,Sweet,,,,Rekorderlig Pesticide-free Zero Calorie Cider with a Tart Finish 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Sweet,,,,,Somersby Zero Alcohol-Free Cider 500ml
Alcohol,Beer & cider,Cider,British cuisine,Low calorie alternative,,,,Umami,Sour,Sweet,,,Bulmers Light Cider with Apple Notes 500ml
Alcohol,Beer & cider,Cider,British cuisine,Kosher,Low calorie alternative,,,Umami,Sweet,Sour,,,Brothers Reduced Calorie Light Kosher Cider - 500ml
Alcohol,Beer & cider,Cider,British cuisine,Organic or additive free,Alcohol free alternative,,,Sweet,Sour,,,,Hazy Ridge Chemical-free Alcohol-Free Cider with a Tangy Finish 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Sweet,Sour,,,,Henry Westons Alcohol-Free Cider with Tart Notes 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Sweet,Spicy,,,,Healey's Alcohol-Free Cider with Chilli Notes 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Sweet,Sour,,,,Sandford Orchards Tart Alcohol-Free Cider 500ml
Alcohol,Beer & cider,Cider,British cuisine,Low calorie alternative,Alcohol free alternative,,,Salty,Sweet,,,,Kopparberg Alcohol-Free Light Cider with a Touch of Sea Salt 500ml
Alcohol,Beer & cider,Cider,British cuisine,Low calorie alternative,,,,Sour,Sweet,,,,Magners Light Cider with a Tangy Note 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Sour,Sweet,,,,Woodchuck Zero Alcohol-Free Cider with a Tangy Finish 500ml
Alcohol,Beer & cider,Cider,British cuisine,Low calorie alternative,Alcohol free alternative,,,Sour,Sweet,,,,Cornish Orchards Zero Calorie Cider with Apple Notes 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,Special event or occasion,,,Sweet,,,,,Sheppy's Celebration Alcohol-Free Cider 500ml
Alcohol,Beer & cider,Cider,British cuisine,Organic or additive free,,,,Sour,Sweet,,,,Hogan's Organic Cider with a Crisp Finish 500ml
Alcohol,Beer & cider,Cider,British cuisine,Low calorie alternative,Organic or additive free,,,Sweet,,,,,Gwynt y Ddraig Green Light Cider 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Sweet,Sour,,,,Stowford Press Alcohol-Free Cider with a Zesty Note 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Sweet,Umami,,,,Strongbow Miso Alcohol-Free Cider 500ml
Alcohol,Beer & cider,Cider,British cuisine,Special event or occasion,Low calorie alternative,,,Sour,Sweet,,,,Blake's Light Cider - Limited Edition 330ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Sour,,,,,Crispin Zero Alcohol-Free Cider with a Tart Twist 500ml
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,,,,Bitter,Sweet,Salty,,,Ace Zero Cider with a Sea Salt Finish 500ml
Alcohol,Beer & cider,Cider,British cuisine,Low calorie alternative,,,,Sweet,,,,,Thatchers Light Cider - 500ml calorie-reduced
