UID,product name
ID_1,Hellmann's Light Mayonnaise Squeezy 650Ml
ID_2,Express Tesco Egg Custard Tart 2 Pack
ID_3,Tesco Loose Red Peppers(C)
ID_4,Tesco Sweetheart Cabbage (C)
ID_5,Tesco Carrot 500G (C)
ID_6,Tesco British Chicken Breast Mini Fillets 400G
ID_7,Tesco Brown Onion Each (C)
ID_8,Tesco Finest Wholemeal Loaf 800G
ID_9,Tesco Sweet Chilli Houmous 182G
ID_10,Tesco Red Kidney Beans In Water 400G
ID_11,Tesco Conference Pear Minimum 4 Pack
ID_12,Tesco Salad Tomatoes 360G (C)
ID_13,Tesco Cream Of Tomato Soup 400G
ID_14,Tesco Chickpeas In Water 400G
ID_15,Tesco Closed Cup Mushrooms 300G (C)
ID_16,Tesco Taramasalata 200G (C)
ID_17,Tesco Garlic Twin Pack (C)
ID_18,Tesco Maris Piper Potatoes 2Kg
ID_19,Tesco Italian Peeled Plum Tomatoes 400G
ID_20,Yorkie Raisin & Biscuit Chocolate Bar 44g
ID_21,San Pellegrino Sparkling Natural Mineral Water 500ml
ID_22,Tesco Plant Chef Roasted Vegetable & Pesto Wrap
ID_23,Limes Each
ID_24,Tesco Extra Mature Cheddar Cheese 400G
ID_25,Tesco Fresh Soured Cream 142Ml
ID_26,Tesco Plant Chef Hoisin Wrap
ID_27,Walkers Baked Cheese & Onion Grab Bag Crisps 37.5g
ID_28,Tesco Cinnamon Swirl
ID_29,Tesco Finest Garlic & Extra Virgin Olive Oil Flatbread 200G
ID_30,Pizza Express Slsc Sloppy Giuseppe 292G
ID_31,Tesco Finest Buffalo Mozzarella & Tomato Pizza 420G
ID_32,Tesco Wholemeal Pitta Bread 6 Pack
ID_33,Tesco Iceberg Lettuce Each (C)
ID_34,Tesco Red Onions Each (C)
ID_35,Tesco Spinach 250G
ID_36,"Tesco British Semi Skimmed Milk 2.272L, 4 Pints"
ID_37,Tesco Cooked Beetroot Vacuum Pack 300G (C)
ID_38,Tesco Ground Black Pepper 25G
ID_39,Tesco Sweet Easy Peeler 600G (C)
ID_40,Tesco Conference Each (C)
ID_41,Tesco Mini Watermelon
ID_42,Ambrosia Devon Custard 400G Can
ID_43,Tesco Greek Style Yogurt 500G
ID_44,Warburtons Sliced Tiger Bread 600G
ID_45,Cucumber Whole Each (C)
ID_46,Tesco Caramelised Onion Houmous 200G (C)
ID_47,Tesco Mint 15G (C)
ID_48,Tesco 12 Indian Selection 320G
ID_49,Banana Each (C)
ID_50,Mint Birthday Card Ha Pea Birthday
ID_51,Condesa De Flores Cava Brut 75Cl
ID_52,Tesco Ripe & Ready Avocado
ID_53,Tesco Baby Plum Tomatoes 300G
ID_54,Tesco Egg Custard Tarts 2 Pack
ID_55,Tesco Frozen Small Turkey Crown 1.5Kg
ID_56,Tesco Ripen At Home Avocados 3Pack
ID_57,Tesco Free Range Eggs Mixed Sized 6 Pack
ID_58,Tesco Multiseed Batch 800G
ID_59,Tesco Cantaloupe Melon Each
