timestamp,type,says,basketValueGross,overallBasketSavings,basketValueNet,numberOfItems,payment_type,payment_category,payment_amount,customerId,requestId
2024-06-20 12:45:53.378,IN_STORE,NA,3.4,1.65,3.4,3,AMERICAN EXPRESS,AMERICAN EXPRESS,3.4,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-11-08 17:36:00.408,IN_STORE,NA,22.75,1.25,19.55,22,MastercardDebit,MastercardDebit,19.55,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-01-31 18:03:17.345,IN_STORE,NA,53.19,,53.19,1,Amex,Amex,53.19,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-08 20:39:30.089,IN_STORE,NA,3.46,,3.46,4,AMERICAN EXPRESS,AMERICAN EXPRESS,3.46,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-12-03 13:44:02.208,IN_STORE,NA,17.12,1.4,17.12,6,AMERICAN EXPRESS,AMERICAN EXPRESS,17.12,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-08-27 19:12:23.868,IN_STORE,NA,1.7,,1.7,1,MastercardDebit,MastercardDebit,1.7,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-10-03 12:36:50.077,IN_STORE,NA,2.85,,2.85,3,Amex,Amex,2.85,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-09-05 12:04:49.619,IN_STORE,NA,2.0,,2.0,1,MastercardDebit,MastercardDebit,2.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-04-23 19:12:21.673,IN_STORE,NA,18.2,0.7,12.91,21,MastercardDebit,MastercardDebit,12.91,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-03-29 20:27:19.972,IN_STORE,NA,15.0,3.0,12.0,1,VisaDebit,VisaDebit,12.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-08-17 17:21:27.286,IN_STORE,NA,7.25,1.5,5.75,5,VisaDebit,VisaDebit,5.75,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-05-02 10:00:22.245,IN_STORE,NA,21.0,1.0,21.0,6,Amex,Amex,21.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-12-31 09:32:30.703,IN_STORE,NA,15.9,0.65,15.9,7,AMERICAN EXPRESS,AMERICAN EXPRESS,15.9,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2025-03-16 14:51:14.167,IN_STORE,NA,1.4,,1.4,1,AMERICAN EXPRESS,AMERICAN EXPRESS,1.4,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-06-30 13:18:53.703,IN_STORE,NA,7.35,2.0,7.35,6,Amex,Amex,7.35,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
