name,quantity,price,volume,timestamp,UID
"Tesco Chicken, Bacon & Stuffing Sandwich",1,1.75,1.0,2024-06-20 12:45:53.378,ID_1872
San Pellegrino Sparkling Natural Mineral Water 500ml,1,0.9,1.0,2024-06-20 12:45:53.378,ID_21
Mccoy's Cheddar & Onion Grab Bag Crisps 45G,1,0.75,1.0,2024-06-20 12:45:53.378,ID_117
Tesco Skinless Boneless Scottish Mackerel In Brine 125G,1,0.75,1.0,2021-11-08 17:36:00.408,ID_528
Boursin Garlic & Herbs Soft Cheese 150g,1,1.8,1.0,2021-11-08 17:36:00.408,ID_1873
Tesco Chestnut Mushroom 250G,1,0.79,1.0,2021-11-08 17:36:00.408,ID_1874
Bury Black Pudding 4 Slices 230G,1,1.15,1.0,2021-11-08 17:36:00.408,ID_482
Tesco Skinless Boneless Scottish Mackerel In Tomato Sauce 125G,1,0.75,1.0,2021-11-08 17:36:00.408,ID_351
Tesco Sardines In Sunflower Oil 120G,1,0.45,1.0,2021-11-08 17:36:00.408,ID_495
Tesco Butternut Squash Each (C),1,1.15,1.0,2021-11-08 17:36:00.408,ID_526
Tesco Core Ripen At Home Nectarin 4 Pack (C),1,3.45,1.0,2021-11-08 17:36:00.408,ID_529
Tesco Asparagus Bundle 250G (C),1,1.72,1.0,2021-11-08 17:36:00.408,ID_527
Tesco Swede Each (C),1,0.4,1.0,2021-11-08 17:36:00.408,ID_525
Kiwi Fruit Each (C),4,0.35,4.0,2021-11-08 17:36:00.408,ID_484
Tesco Conference Each (C),4,0.5,4.0,2021-11-08 17:36:00.408,ID_40
Tesco Salad Tomatoes 360G (C),1,0.19,1.0,2021-11-08 17:36:00.408,ID_12
Tesco 16 Seafood Sticks 250G,1,1.15,1.0,2021-11-08 17:36:00.408,ID_154
Tesco Sour Cream & Chive Dip 211G,1,0.9,1.0,2021-11-08 17:36:00.408,ID_1875
Tesco Sweet & Easy Peel Clementines 600g,1,1.5,1.0,2021-11-08 17:36:00.408,ID_1876
DIESEL  ,1,1.72,1.0,2023-01-31 18:03:17.345,ID_193
Tesco Fresh Egg Custard Tarts 2 Pack,1,0.95,1.0,2024-07-08 20:39:30.089,ID_1877
Tesco Deli Style Cheese & Pickle Sandwich,1,1.21,1.0,2024-07-08 20:39:30.089,ID_241
Tesco Chicken Bacon & Lettuce Sandwich,2,0.65,2.0,2024-07-08 20:39:30.089,ID_805
Tesco Boneless Smoked Haddock 280G,1,2.91,1.0,2024-12-03 13:44:02.208,ID_1193
Bonne Maman Raspberry Conserve370g+20%,1,3.8,1.0,2024-12-03 13:44:02.208,ID_1878
Whole Earth Crunchy Organic Peanut Butter 340g,1,3.3,1.0,2024-12-03 13:44:02.208,ID_1879
Tesco Finest Buffalo Mozzarella & Tomato Pizza 420G,2,2.68,2.0,2024-12-03 13:44:02.208,ID_31
Mr Kipling 6 Snowflake Mince Pies,1,1.75,1.0,2024-12-03 13:44:02.208,ID_85
Heinz Seriously Good Light Mayonnaise 420g,1,1.7,1.0,2021-08-27 19:12:23.868,ID_1880
Tesco Cinnamon Swirl Pastry 2 Pack,1,1.1,1.0,2023-10-03 12:36:50.077,ID_1881
San Pellegrino Sparkling Natural Mineral Water 500ml,1,1.0,1.0,2023-10-03 12:36:50.077,ID_21
Nature Valley Crunchy Canadian Maple Syrup 42g,1,0.75,1.0,2023-10-03 12:36:50.077,ID_144
"Tesco Apple Mango, Strawberry & Raspberry 220G",1,2.0,1.0,2021-09-05 12:04:49.619,ID_599
Tesco Conference Each (C),3,0.5,3.0,2022-04-23 19:12:21.673,ID_40
Pr̩sident French Brie Cheese 200g,1,1.55,1.0,2022-04-23 19:12:21.673,ID_108
Tesco Multiseed Batch Medium Sliced White Loaf 800g,1,1.1,1.0,2022-04-23 19:12:21.673,ID_1882
Tesco Salad Tomatoes 360G (C),1,0.75,1.0,2022-04-23 19:12:21.673,ID_12
Banana Each (C),6,0.25,6.0,2022-04-23 19:12:21.673,ID_49
Tesco Ripe & Ready Avocado (C),1,0.8,1.0,2022-04-23 19:12:21.673,ID_447
Tesco.Reduced Fat Houmous 200G (C),1,0.43,1.0,2022-04-23 19:12:21.673,ID_71
Tesco Taramasalata 200G (C),1,1.4,1.0,2022-04-23 19:12:21.673,ID_16
Tesco Finest 2 Scotch Eggs 260G,2,0.74,2.0,2022-04-23 19:12:21.673,ID_448
Large Pink Lady Apples (C) Loose Class 1,4,0.6,4.0,2022-04-23 19:12:21.673,ID_422
Birra Moretti Premium Lager Beer Bottle 12x330ml,1,12.0,1.0,2022-03-29 20:27:19.972,ID_461
Tesco Loose Red Peppers(C),2,0.45,2.0,2021-08-17 17:21:27.286,ID_3
Tesco Finest Spanish Chorizo 225G,1,2.9,1.0,2021-08-17 17:21:27.286,ID_608
Tesco Italian Chopped Tomatoes 400G,1,0.45,1.0,2021-08-17 17:21:27.286,ID_610
Pringles Sizzl'n Extra Hot Cheese & Chilli 180G,1,3.0,1.0,2021-08-17 17:21:27.286,ID_609
Whole Earth Crunchy Peanut Butter 1Kg,1,6.3,1.0,2024-05-02 10:00:22.245,ID_1883
Easy Original Thick Bleach 750Ml,1,0.65,1.0,2024-05-02 10:00:22.245,ID_1884
Andrex Supreme Quilts Toilet Tissue Standard Rolls 9 Rolls,1,5.75,1.0,2024-05-02 10:00:22.245,ID_712
Vanish Oxi Action 270G,1,3.45,1.0,2024-05-02 10:00:22.245,ID_1885
Mr Muscle Sink & Plug Gel 500Ml +100% Free,1,4.0,1.0,2024-05-02 10:00:22.245,ID_1886
Tesco Extracts Magnolia Antibacterial Handwash 500ml,1,0.85,1.0,2024-05-02 10:00:22.245,ID_1887
Marmite Yeast Extract Spread 250G,1,3.3,1.0,2024-12-31 09:32:30.703,ID_375
Banana Each (C),3,0.27,3.0,2024-12-31 09:32:30.703,ID_49
Bright Bouquet,1,8.0,1.0,2024-12-31 09:32:30.703,ID_1888
Tetley Original 120 Tea Bags 375G Plus Extra Free 40 Tea Bags,1,3.05,1.0,2024-12-31 09:32:30.703,ID_1889
"Tesco Organic British Semi Skimmed Milk 1.136L, 2 Pint",1,0.74,1.0,2024-12-31 09:32:30.703,ID_1689
San Pellegrino Sparkling Natural Mineral Water 500ml,1,1.4,1.0,2025-03-16 14:51:14.167,ID_21
Tesco Red Pepper Houmous 182g,1,1.25,1.0,2023-06-30 13:18:53.703,ID_1890
Tesco Finest Super Seeded Sliced Farmhouse Loaf 800g,1,1.45,1.0,2023-06-30 13:18:53.703,ID_1891
San Pellegrino Sparkling Natural Mineral Water 500ml,1,0.67,1.0,2023-06-30 13:18:53.703,ID_21
Tesco Egg Protein Pot 90G,1,0.84,1.0,2023-06-30 13:18:53.703,ID_74
Tesco Taramasalata 200G (C),1,1.25,1.0,2023-06-30 13:18:53.703,ID_16
Tesco Tuna Crunch Sub,1,1.89,1.0,2023-06-30 13:18:53.703,ID_176
I Heart Prosecco Rose 75Cl,1,7.5,1.0,2023-04-28 17:03:23.378,ID_237
Spam Chopped Pork And Ham 340G,1,3.1,1.0,2021-08-05 19:41:17.860,ID_638
Tesco Semi-Dried Roasted Vine Tomatoes 190G,1,2.9,1.0,2021-08-13 20:29:48.941,ID_1892
Tesco Taramasalata 200G (C),1,1.2,1.0,2021-08-13 20:29:48.941,ID_16
Tesco Finest Coleslaw 300G,1,1.35,1.0,2021-08-13 20:29:48.941,ID_536
Tesco Finest White Sourdough Loaf 400G,1,1.7,1.0,2021-08-13 20:29:48.941,ID_623
Kettle Chips Lightly Salted Crisps 150 G,1,1.5,1.0,2021-08-13 20:29:48.941,ID_622
The Ice Co. Premium Ice Cubes 1Kg,1,1.05,1.0,2021-08-13 20:29:48.941,ID_624
Tesco Stonebaked Spinach & Ricotta Pizza 314G,1,3.5,1.0,2021-08-13 20:29:48.941,ID_493
Tesco Swede Each (C),1,0.95,1.0,2021-08-13 20:29:48.941,ID_525
Tesco Houmous 200G,1,1.2,1.0,2021-08-13 20:29:48.941,ID_428
Kettle Chips Mature Cheddar & Red Onion Crisps 150 G,1,1.5,1.0,2021-08-13 20:29:48.941,ID_621
Tesco Red Chillies 60G,1,0.7,1.0,2021-08-13 20:29:48.941,ID_228
Tesco Closed Cup Mushrooms 300G (C),1,1.1,1.0,2021-08-13 20:29:48.941,ID_15
Tesco Mixed Olives With Cheddar 220G,1,2.9,1.0,2021-08-13 20:29:48.941,ID_494
Tesco Harissa Paste 90G,1,2.2,1.0,2021-08-13 20:29:48.941,ID_620
Tesco Chestnut Mushroom 250G,1,0.82,1.0,2024-04-28 16:17:48.672,ID_1874
Tesco Okra 175G (C),2,0.67,2.0,2024-04-28 16:17:48.672,ID_1893
Tesco Large White Baps 4 pack,1,0.51,1.0,2024-04-28 16:17:48.672,ID_1894
Tesco Fresh Egg Custard Tarts 2 Pack,1,0.95,1.0,2024-04-28 16:17:48.672,ID_1877
Tesco Dishwasher Salt 1Kg,1,1.75,1.0,2024-04-28 16:17:48.672,ID_898
Warburtons Wholemeal Medium Sliced Bread 800g,1,0.68,1.0,2024-04-28 16:17:48.672,ID_1895
Tesco Ultra Dishwasher Capsules - Lemon 40 Pack 500g,1,5.75,1.0,2024-04-28 16:17:48.672,ID_1896
Pride Coconut Milk Light 400Ml,1,0.95,1.0,2024-09-22 16:01:42.951,ID_1897
Tesco Brown Onions 485G,1,1.1,1.0,2024-09-22 16:01:42.951,ID_165
Tesco Paneer Cheese 200G,2,2.0,2.0,2024-09-22 16:01:42.951,ID_254
Tesco British Chicken Breast Mini Fillets 400G,1,2.36,1.0,2024-09-22 16:01:42.951,ID_6
Tesco Deli Style Cheese & Pickles Sandwich,1,0.83,1.0,2022-03-04 17:17:44.479,ID_476
Purdey's Rejuvenate Sparkling Grape & Apple with Ginseng 330ml,1,0.93,1.0,2022-03-04 17:17:44.479,ID_179
Tesco Baby Button Mushrooms 200G (C),1,0.82,1.0,2022-03-04 17:17:44.479,ID_466
Wicked Kitchen Sweet Potato Pakora Wrap,1,1.23,1.0,2022-03-04 17:17:44.479,ID_483
Tesco Plant Chef Houmous Harissa Vegetable Sandwich,1,1.48,1.0,2022-03-04 17:17:44.479,ID_330
Tesco Finest 2 Thai Prawn Fishcakes 290G,1,1.35,1.0,2022-03-04 17:17:44.479,ID_477
Bury Black Pudding 4 Slices 230G,1,0.43,1.0,2022-03-04 17:17:44.479,ID_482
Tesco Egg Protein Pot 90G,1,0.63,1.0,2022-03-04 17:17:44.479,ID_74
Cinnamon Swirl Pastry,4,0.9,4.0,2022-03-04 17:17:44.479,ID_1898
Old Speckled Hen 4 X 500Ml Cans,1,5.2,1.0,2022-03-04 17:17:44.479,ID_1899
Tesco Mini White Tortilla Wraps Plain 8 Pack,1,0.3,1.0,2022-03-04 17:17:44.479,ID_1900
Walkers Wotsits Cheese Grab Bag Crisps 36g,1,0.59,1.0,2022-03-04 17:17:44.479,ID_331
Innocent Berry Set Go Juice 330Ml,1,1.54,1.0,2022-03-04 17:17:44.479,ID_479
San Pellegrino Lemon Soft Drink 330ml,1,1.25,1.0,2023-05-29 13:44:53.787,ID_197
Tesco Mango 250G,1,2.25,1.0,2023-05-29 13:44:53.787,ID_199
Purdey's Rejuvenate Sparkling Grape & Apple with Ginseng 330ml,1,1.5,1.0,2023-05-29 13:44:53.787,ID_179
"Tesco Salmon, Prawn & Surimi Rolls Sriracha Mayonnaise 141G",1,2.85,1.0,2023-05-29 13:44:53.787,ID_198
Tesco Red Seedless Grape Punnet 400G,1,1.65,1.0,2023-04-07 09:56:54.284,ID_795
Tesco Mini Danish Pastries Selection 5 Pack,1,1.65,1.0,2023-04-07 09:56:54.284,ID_1901
