L3,L2,L1,Fresh,Frozen food,Health food or drink,Unhealthy option,Low calorie alternative,Just cook food,Grab & go prepared food or drink,Alcohol free alternative,Decaf alternative,Contains meat,Contains seafood,Animal produce,Vegetarian or vegan alternative,Organic or additive free,Halal,Kosher,Special event or occasion,British cuisine,American cuisine,French cuisine,Italian cuisine,Mediterranean cuisine,Middle Eastern cuisine,Germanic and Slavic cuisine,Chinese cuisine,Japanese cuisine,Korean cuisine,Southeast Asian cuisine,South Asian cuisine,Mexican cuisine,Caribbean cuisine,Sub-Saharan African cuisine,Northern African cuisine,Bitter,Neutral,Non food,Salty,Savoury,Sour,Spicy,Sweet,Umami
Alcohol,Beer & cider,"Ale, stout & bitter",Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Almost never,Never,Almost never,Almost never,Rarely,Rarely
Alcohol,Beer & cider,Cider,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Almost never,Never,Never,Almost never,Never,Usually,Almost never,Consistently,Almost never
Alcohol,Beer & cider,Craft beer,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Almost never,Never,Never,Almost never,Never,Usually,Almost never,Consistently,Almost never
Alcohol,Beer & cider,Lager,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Almost never,Never,Never,Almost never,Never,Almost never,Almost never,Rarely,Almost never
Alcohol,Beer & cider,Other beer & cider,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Almost never,Never,Rarely,Almost never,Rarely,Almost never
Alcohol,Cocktails,Alcopops,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Almost never,Never,Never,Almost never,Never,Rarely,Almost never,Consistently,Almost never
Alcohol,Cocktails,Cocktails,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Almost never,Never,Rarely,Rarely,Consistently,Almost never
Alcohol,Cocktails,Tonic & mixers,Never,Never,Never,Never,Usually,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Consistently,Never,Never,Almost never,Never,Rarely,Almost never,Almost never,Almost never
Alcohol,Other alcohol,Other alcohol,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Almost never,Never,Almost never,Almost never,Rarely,Almost never
Alcohol,Spirits,Brandy,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Almost never,Almost never,Always,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Never,Never,Almost never,Never,Almost never,Almost never,Almost never,Almost never
Alcohol,Spirits,Gin,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Always,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Never,Never,Almost never,Never,Almost never,Almost never,Rarely,Almost never
Alcohol,Spirits,Liquers,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Rarely,Never,Never,Almost never,Never,Rarely,Almost never,Consistently,Almost never
Alcohol,Spirits,Other spirits,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Never,Never,Almost never,Never,Almost never,Almost never,Almost never,Almost never
Alcohol,Spirits,Rum,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Almost never,Almost never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Almost never,Never,Never,Almost never,Never,Almost never,Almost never,Rarely,Almost never
